Rank,Destination AS,Organization,Number of ASes set prefix policy for it
586,AS38735,"Global Data Service Joint Stock Company",86
587,AS27715,"Locaweb Serviços de Internet S/A",86
588,AS19855,"Masergy Communications",86
589,AS38320,"PT Maxindo Mitra Solusi",86
590,AS17817,"Concentrix Daksh Services India Private Limited",86
591,AS45276,"NReach Net (Pvt.) Ltd",86
592,AS51684,"Asiacell Communications LLC",86
593,AS11870,"ALTICOR INC",85
594,AS38174,"Capgemini India Pvt Ltd",85
595,AS45582,"VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",85
596,AS13971,"HedgeServ Corporation",85
597,AS6220,"inContact Inc.",85
598,AS38182,"Extreme Broadband",85
599,AS132422,"Hong Kong Business Telecom Limited",85
600,AS33442,"Zebra Technologies",85
601,AS35204,"Akamai International B.V.",85
602,AS37008,"Alink Telecom Faso",85
603,AS51408,"OOO Sirius-Project",85
604,AS25163,"21st Century Technologies Limited",85
605,AS32780,"Hosting Services, Inc.",84
606,AS30990,"DJIBOUTI TELECOM S.A.",84
607,AS23988,"PLDT Global Corporation",84
608,AS4657,"Starhub Internet Pte Ltd",84
609,AS26654,"Richard Fleischman & Assoc., Inc.",84
610,AS59962,"Shiraz University",84
611,AS393226,"IntercontinentalExchange Inc.",84
612,AS199274,"Serveroid, LLC",84
613,AS7838,"USAA",84
614,AS14043,"ScanSource, Inc.",84
615,AS27205,"",84
616,AS28539,"Creatividad Internet Enlaces, S.A. de C.V.",84
617,AS9051,"IncoNet Data Management sal",84
618,AS9930,"TT DOTCOM SDN BHD",84
619,AS13591,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",84
620,AS36926,"Airtel Networks Kenya Limited",83
621,AS55665,"PT Sampoerna Telemedia Indonesia",83
622,AS52465,"WNet Internet y Hosting",83
623,AS53889,"Micfo, LLC.",83
624,AS19137,"Epsilon Interactive LLC",83
625,AS13999,"Mega Cable, S.A. de C.V.",82
626,AS10036,"DLIVE",82
627,AS13445,"Cisco Webex LLC",82
628,AS45382,"EHOSTICT",82
629,AS31699,"BANK AL JAZIRA",82
630,AS17825,"Tech Mahindra Limited",82
631,AS12331,"Audi AG",82
632,AS30536,"Circle Computer Resources, Inc.",82
633,AS4837,"CHINA UNICOM Industrial Internet Backbone",82
634,AS18042,"Koos Broadband Telecom",82
635,AS37371,"Hormuud Telecom Somalia INC",82
636,AS11188,"LOS ANGELES COUNTY - INTERNAL SERVICESDIVISION",81
637,AS18209,"Beam Telecom Pvt Ltd",81
638,AS133001,"Airnet Cable And Datacom Pvt Ltd",81
639,AS4761,"PT. INDOSAT Tbk",81
640,AS26646,"TravelCLICK Inc.",81
641,AS2021,"UNISYS",81
642,AS37721,"Virtual Technologies & Solutions",81
643,AS7979,"Servers.com, Inc.",81
644,AS29066,"Host Europe GmbH",81
645,AS20446,"Highwinds Network Group, Inc.",81
646,AS33771,"Safaricom Limited",80
647,AS55824,"National Knowledge Network",80
648,AS55256,"Netskope Inc",80
649,AS46805,"Inter Connects Inc",80
650,AS57910,"Soluciones Corporativas IP, SL",80
651,AS7908,"BT LATAM Venezuela, S.A.",80
652,AS36678,"CHINA TELECOM (AMERICAS) CORPORATION",80
653,AS36776,"Five9 Inc.",80
654,AS31619,"City Stars",80
655,AS21548,"COGECODATA",80
656,AS14754,"Telgua",80
657,AS61308,"PVONET LTD",80
658,AS29974,"Wightman Telecom",80
659,AS37133,"Airtel Tanzania",80
660,AS11802,"Centro de Informatica e Automacao do Estado de SC",80
661,AS48951,"T-Systems International GmbH",80
662,AS23888,"National Telecommunication Corporation",80
663,AS327885,"Viettel Tanzania PLC",80
664,AS41124,"BTcom Infocommunications Ltd.",80
665,AS17911,"Brain NET",80
666,AS16062,"Latvijas tikli, SIA",80
667,AS48159,"Telecommunication Infrastructure Company",79
668,AS60068,"Datacamp Limited",79
669,AS12337,"noris network AG",79
670,AS9649,"PACIFIC INTERNET (S) PTE. LTD.",79
671,AS17447,"Net4India Ltd",79
672,AS52892,"COPREL TELECOM LTDA",79
673,AS7054,"Merck and Co., Inc.",79
674,AS50880,"SEVEN EYES FOR MARKETING LTD",79
675,AS40026,"DICK'S SPORTING GOODS INC",79
676,AS58682,"LEVEL3 CARRIER LIMITED",79
677,AS13904,"Cherryland Services Inc",79
678,AS2687,"AT&T Global Network Services, LLC",79
679,AS132167,"Ooredoo Myanmar Limited",79
680,AS9835,"National Electronics and Computer Technology Center",79
681,AS131627,"Peicity Digital Cable Television., LTD",79
682,AS9244,"Diyixian.com Limited",79
683,AS54574,"DMIT Cloud Services",79
684,AS14230,"Involta",79
685,AS45796,"United Information Highway Co.,Ltd.",79
686,AS38500,"PT. Cross Network Indonesia",79
687,AS38026,"MetroNet Bangladesh Limited",79
688,AS58065,"Packet Exchange Limited",79
689,AS13414,"Twitter Inc.",78
690,AS17465,"Asianet Satellite Communications Pvt Ltd",78
691,AS32034,"NewCom International, Inc.",78
692,AS23383,"METRORED S.A. DE C.V.",78
693,AS46687,"BCI Mississippi Broadband,LLC",78
694,AS29434,"Denizbank A.S.",78
695,AS22283,"Sidley Austin Brown & Wood",78
696,AS40933,"Triangle Communications",78
697,AS32906,"FACTORY MUTUAL INSURANCE COMPANY",78
698,AS11271,"BT Latam Brasil Ltda",78
699,AS393737,"Cpuonsite",77
700,AS25933,"Vogel Soluções em Telecom e Informática S/A",77
701,AS45361,"Ulsan Jung-Ang Broadcasting Network",77
702,AS10879,"Unitedhealthcare",77
703,AS16574,"Gtek Computers LLC",77
704,AS40934,"Fortinet Inc.",77
705,AS60757,"Optinet LLP",77
706,AS6253,"The Prudential Insurance Company of America",77
707,AS60721,"Bursabil Teknoloji A.S.",77
708,AS131464,"Digi Jadoo Broadband Ltd",77
709,AS57578,"Misaka Network, Inc.",77
710,AS36969,"Malawi Telecommunications Limited",77
711,AS8376,"Jordan Data Communications Company LLC",76
712,AS9430,"Software Technology Parks of India,",76
713,AS22724,"PUNTONET S.A.",76
714,AS26057,"Mediaocean LLC",76
715,AS10118,"HGC Global Communications Limited",76
716,AS17161,"Marsh Inc.",76
717,AS18840,"EQUIPOS Y SISTEMAS S.A.",76
718,AS14821,"Vlan24",76
719,AS22351,"INTELSAT GLOBAL SERVICE CORPORATION",76
720,AS11086,"Pitney Bowes Incorporated",76
721,AS35913,"DediPath",76
722,AS7046,"MCI Communications Services, Inc. d/b/a Verizon Business",76
723,AS327813,"VIDOLU Group Pty Ltd-Web4Africa",76
724,AS50169,"LLC Inventos",76
725,AS4609,"Companhia de Telecomunicacoes de Macau",75
726,AS812,"Rogers Communications Canada Inc.",75
727,AS53037,"NEXTEL TELECOMUNICAÇÕES LTDA",75
728,AS45815,"ESDS Software Solution Pvt. Ltd.",75
729,AS6821,"Makedonski Telekom AD-Skopje",75
730,AS4637,"Telstra International Limited",75
731,AS262234,"ASOCIACION DE SERVICIO DE INTERNET S. DE RL.",75
732,AS13662,"MCI Communications Services, Inc. d/b/a Verizon Business",75
733,AS17990,"GLOBALNET COMMUNICATION LTD.",74
734,AS20299,"Newcom Limited",74
735,AS26344,"Real Page, Inc.",74
736,AS36483,"Gossamer Threads Inc.",74
737,AS54201,"We Link Networks LLC",74
738,AS39915,"Premiere Conferencing Ireland Ltd",74
739,AS22097,"K&L Gates, LLP",74
740,AS17330,"FireEye, Inc.",74
741,AS45305,"Lintas Data Prima, PT",74
742,AS55095,"Netflix Inc",74
743,AS18422,"Industrial Technology Research Institute",74
744,AS19886,"Bank of America, National Association",74
745,AS22107,"CollabNet",74
746,AS17802,"Macquarie Bank",74
747,AS10084,"Internet Association of Australia Inc.",74
748,AS12722,"RECONN. Operator Svyazi, LLC",74
749,AS59209,"Walton Hi-Tech Industries Ltd.",74
750,AS17819,"Equinix Asia Pacific Pte Ltd",74
751,AS37037,"Orange Madagascar",74
752,AS13806,"NCR Corporation",73
753,AS4758,"National Informatics Centre",73
754,AS58678,"Intech Online Private Limited",73
755,AS45916,"Gujarat Telelink Pvt Ltd",73
756,AS7693,"KSC Commercial Internet Co.Ltd.",73
757,AS9394,"China TieTong Telecommunications Corporation",73
758,AS16960,"Cablevision Red, S.A de C.V.",73
759,AS28618,"Linktel Telecom do Brasil Ltda",73
760,AS21615,"Cebridge Connections",73
761,AS25543,"ONATEL (Office National des Telecommunications, PTT)",73
762,AS15625,"ING Bank N.V.",72
763,AS15557,"SFR SA",72
764,AS15736,""Mobile Business Solution" MBS LLP",72
765,AS27232,"Voxter Communications, Inc.",72
766,AS37019,"INTERSAT AFRICA LTD",72
767,AS37349,"Aptus Solutions Ltd",72
768,AS7734,"Toronto Dominion Bank",72
769,AS17035,"NBCUniversal",72
770,AS18103,"Neuviz Net",72
771,AS22006,"PRONSS",72
772,AS393676,"Oracle Corporation",72
773,AS46606,"Unified Layer",71
774,AS23498,"COGECODATA",71
775,AS17011,"PPG Industries, Inc.",71
776,AS7349,"TierPoint, LLC",71
777,AS22764,"Fluor Enterprises, Inc.",71
778,AS132471,"MTN Afghanistan",71
779,AS26548,"Purevoltage Enterprises Inc.",71
780,AS19889,"Cooperativa Telefonica Del Viso",71
781,AS11031,"Orbis Investments (Canada) Limited",71
782,AS53197,"Meta Telecomunicações Ltda",71
783,AS4773,"M1 LIMITED",71
784,AS4605,"Hong Kong Baptist University",71
785,AS10991,"Capgemini U.S. LLC",71
786,AS36991,"Africell Uganda Limited",71
787,AS14492,"DataPipe, Inc.",71
788,AS24068,"REDtone Telecommunication Sdn Bhd",71
789,AS23889,"Mauritius Telecom Ltd",70
790,AS52748,"Seitel - Seixas Telecomunicações",70
791,AS24309,"Atria Convergence Technologies Pvt. Ltd.,",70
792,AS13480,"Ongoing Operations, LLC",70
793,AS6,"Bull HN Information Systems Inc.",70
794,AS6419,"IDD Enterprises, LP",70
795,AS10238,"Cyber Channel International Ltd",70
796,AS45887,"GPLHost LLC",70
797,AS198622,"Adform A/S",70
798,AS58411,"Gateway Technology Development Company Limited",70
799,AS28663,"FLYS INTERATIVA LTDA",70
800,AS38456,"SpeedCast Pacific Pty Limited",70
801,AS15916,"ABN AMRO Bank N.V.",70
802,AS11687,"City of Hope Medical Center",70
803,AS29182,"JSC The First",70
804,AS14495,"Nasdaq, Inc.",70
805,AS52323,"Colsecor Cooperativa Limitada",70
806,AS29791,"Internap Corporation",69
807,AS54614,"CIK Telecom INC",69
808,AS38566,"NTT (Thailand) Limited",69
809,AS16347,"ADISTA SAS",69
810,AS22080,"Broadbandtech S. A.",69
811,AS45595,"Pakistan Telecommuication company limited",69
812,AS262732,"Sygo Telecom",69
813,AS40034,"Confluence Networks Inc",69
814,AS21326,"AT&T Global Network Services Nederland B.V.",69
815,AS262437,"InNET Ponto Com Ltda.",69
816,AS17408,"AboveNet Communications Taiwan Co., Ltd",69
817,AS131584,"Taiwan Intelligent Fiber Optic Network Co.,Ltd.",69
818,AS132040,"Citylink Ltd",69
819,AS53985,"DODGE & COX",69
820,AS52347,"HOSTCLICK, de DUCA GRACIELA MIRTA",69
821,AS14203,"Juniper Networks, Inc.",69
822,AS43094,"SC ITNS.NET SRL",69
823,AS50257,"JV A-Mobile Ltd.",69
824,AS17975,"APT Telecom Services Limited",68
825,AS58376,"PT Angkasa Komunikasi Global Utama",68
826,AS32537,"Xilinx Incorporated",68
827,AS9676,"SaveCom Internation Inc.",68
828,AS5018,"CITIC Telecom International CPC Limited",68
829,AS6448,"QAD, Inc.",68
830,AS37061,"Safaricom Limited",68
831,AS8905,"Digit One LLC",68
832,AS9922,"New Kaohsiung Broadband LTD.",68
833,AS27447,"Schulte Roth & Zabel LLP",68
834,AS2764,"AAPT Limited",68
835,AS8008,"ENHANCED TELECOMMUNICATIONS CORP.",68
836,AS46655,"ALIGN Inc.",68
837,AS3786,"LG DACOM Corporation",67
838,AS11857,"Aegon USA, Inc.",67
839,AS21980,"Dayco Telecom, C.A.",67
840,AS328126,"Orange Tunisie",67
841,AS39927,"E-Light-Telecom Ltd.",67
842,AS34285,"Sociedad Andaluza para el Desarrollo de las Telecomunicaciones S.A.",67
843,AS21699,"IO INC",67
844,AS13448,"Forcepoint, LLC",67
845,AS131353,"NhanHoa Software company",67
846,AS22646,"Hargray Communications Group, Inc.",67
847,AS26245,"Robert Half International",67
848,AS38248,"VTC-VN",67
849,AS24768,"ALMOUROLTEC SERVICOS DE INFORMATICA E INTERNET LDA",67
850,AS3225,"Gulfnet Kuwait",67
851,AS37414,"Microcom Sprl",67
852,AS131746,"PT. Medianusa Permana",67
853,AS46573,"Global Frag Networks",67
854,AS23352,"Server Central Network",66
855,AS36911,"DIRECT ON PC LTD",66
856,AS8048,"CANTV Servicios, Venezuela",66
857,AS49576,"RED ELECTRICA DE ESPANA S.A.U.",66
858,AS4812,"China Telecom (Group)",66
859,AS557,"University of Maine System",66
860,AS12184,"Forrester Research",66
861,AS38031,"OptiMax Communication Ltd",66
862,AS41204,"Hostcool Limited",66
863,AS24085,"Quang Trung Software City Development Company",65
864,AS7470,"TRUE INTERNET CORPORATION CO. LTD.",65
865,AS61157,"PlusServer GmbH",65
866,AS7726,"FedEx Internet Technologies Corporation",65
867,AS59796,"Storm Systems LLC",65
868,AS30337,"Deloitte Services LP",65
869,AS37526,"TELECEL FASO",65
870,AS30857,"Communications and Information Technology Commission (CITC)",65
871,AS3614,"Dell, Inc.",65
872,AS36315,"Servpac Inc.",65
873,AS12956,"Telefonica International Wholesale Services II, S.L.U.",65
874,AS23487,"CONECEL",65
875,AS49257,"American Express Company (Saudi Arabia) PJS",65
876,AS58271,"FOP Gubina Lubov Petrivna",65
877,AS8867,"E-Gov - Tehila Project - Prime Minister Office's",65
878,AS31037,"Wave Net LLC",65
879,AS5607,"Sky UK Limited",65
880,AS38901,"EZECOM limited",64
881,AS37209,"Hyperia Limited",64
882,AS38001,"NewMedia Express Pte Ltd",64
883,AS45326,"Broad Band Telecom Services Ltd",64
884,AS21245,"MEDIANOVA INTERNET HIZMETLERI VE TICARET ANONIM SIRKETI",64
885,AS37577,"Orange Burkina Faso",64
886,AS28509,"Cablemas Telecomunicaciones SA de CV",64
887,AS262798,"VIABOL TELECOM LTDA",64
888,AS22362,"Global Tel*link Corporation",64
889,AS198252,"ELTA KABEL d.o.o.",64
890,AS50977,"ESYCOR S.A.",64
891,AS53755,"Input Output Flood LLC",64
892,AS50673,"Serverius Holding B.V.",64
893,AS37693,"OOREDOO TUNISIE SA",63
894,AS38731,"Vietel - CHT Compamy Ltd",63
895,AS132770,"Gazon Communications India Limited",63
896,AS19165,"Webpass Inc.",63
897,AS262186,"TV AZTECA SUCURSAL COLOMBIA",63
898,AS6774,"Belgacom International Carrier Services SA",63
899,AS197989,"Saudi Electronic Info Exchange Company (Tabadul) JSC",63
900,AS52580,"Azion Technologies Ltda.",63
901,AS13684,"Medtronic, Incorporated",63
902,AS25576,"AFMIC",63
903,AS32062,"Armstrong World Industries, Inc.",63
904,AS9658,"Eastern Telecommunications Philippines, Inc.",63
905,AS14080,"Telmex Colombia S.A.",63
906,AS58813,"Dtech Limited",63
907,AS14297,"ACI Worldwide, Inc.",63
908,AS26496,"GoDaddy.com, LLC",63
909,AS37440,"Airtel Malawi Ltd",63
910,AS17563,"NEXLINX",63
911,AS131215,"116 MADHAV DARSHAN",62
912,AS13919,"ADS Alliance Data Systems, Inc.",62
913,AS40526,"Gap, Inc. Direct",62
914,AS131367,"Viet Online trading service corporation",62
915,AS7018,"AT&T Services, Inc.",62
916,AS53941,"Accertify, Inc.",62
917,AS27742,"Amnet Telecomunicaciones S.A.",62
918,AS14795,"Banco de Credito e Inversiones",62
919,AS198471,"Linkem spa",62
920,AS36873,"Airtel Networks Limited",62
921,AS9255,"Singapore Telecom, ConnectPlus",62
922,AS52351,"Integral Insumos",62
923,AS41935,"DASSAULT SYSTEMES SE",62
924,AS51659,"LLC Baxet",62
925,AS11251,"Disney Streaming Services",62
926,AS12129,"123.Net, Inc.",62
927,AS28790,"MEGABANK PJSC",62
928,AS35444,"Digicom SHPK",62
929,AS393954,"CFN Services Inc.",62
930,AS29651,"JSC "RT Labs"",62
931,AS46746,"Secure-24, LLC",62
932,AS13188,"CONTENT DELIVERY NETWORK LTD",61
933,AS262907,"AVATO TECNOLOGIA",61
934,AS197706,"Keminet SHPK",61
935,AS25122,"GULFSATCOMMUNICATIONS COMPANY K.S.C.",61
936,AS54600,"PEG TECH INC",61
937,AS23763,"Interactive Data (Australia) Pty Ltd",61
938,AS21070,"Total S.A.",61
939,AS18678,"INTERNEXA S.A. E.S.P",61
940,AS5603,"Telekom Slovenije, d.d.",61
941,AS45814,"Fariya Networks",61
942,AS19443,"Staples, Inc",61
943,AS52262,"Telefónica Celular S.A",61
944,AS35457,"Etisalcom Bahrain Company W.L.L.",61
945,AS263027,"RAMNET TELECOM",61
946,AS31856,"YoAfrica (Pvt) Ltd",61
947,AS12252,"America Movil Peru S.A.C.",61
948,AS12660,"Sharif University Of Technology",61
949,AS50676,"TelCom LLC",61
950,AS37473,"Telesom",61
951,AS131169,"",60
952,AS9341,"PT INDONESIA COMNETS PLUS",60
953,AS38333,"Symbio Networks Pty Ltd",60
954,AS26415,"VeriSign Global Registry Services",60
955,AS48096,"Enterprise Cloud Ltd.",60
956,AS29304,"JSC SATIS-TL-94",60
957,AS21502,"SFR SA",60
958,AS7630,"CS Loxinfo Public Company Limited",60
959,AS50564,"Electronica Martinez de Cartagena S.L.",60
960,AS1931,"Hewlett-Packard Company",60
961,AS13431,"Millennium Partners, L.P.",60
962,AS53845,"Broadband Dynamics, LLC",60
963,AS38562,"Innovative Online Ltd.",60
964,AS7545,"TPG Internet Pty Ltd",60
965,AS59257,"CMPak Limited",60
966,AS8966,"Emirates Telecommunications Corporation",60
967,AS7532,"DigiCentre Company Limited,",60
968,AS37012,"Comsys (GH) Limited",60
969,AS59590,"LINKZONE MEDIA S.R.L.",60
970,AS132329,"Firstsource Solutions Ltd",60
971,AS43277,"Victory media d.o.o",60
972,AS41707,"Hamburg Suedamerikanische Dampfschifffahrts-Gesellschaft KG",60
973,AS4749,"WiseTechGlobal Pty Ltd",60
974,AS4628,"PACIFIC INTERNET (S) PTE. LTD.",59
975,AS6620,"AMA Communications, LLC",59
976,AS38235,"Angkor Data Communication",59
977,AS18254,"KLAYER LLC",59
978,AS14365,"Adobe Systems Inc.",59
979,AS6468,"Easylink Services Corporation",59
980,AS262387,"Intermicro Ltda",59
981,AS56155,"Tuong Minh service private enterprise",59
982,AS29664,"Reliance Globalcom Limited",59
983,AS4739,"iiNet Limited",59
984,AS25003,"Internet Binat Ltd",59
985,AS37447,"ORANGE RDC",59
986,AS5972,"DoD Network Information Center",59
987,AS262488,"Minasnet Serviços de Provedor de Internet Ltda",59
988,AS28548,"Cablevisión, S.A. de C.V.",59
989,AS18245,"China Internet Network Infomation Center",58
990,AS55352,"Microscan Computers Private Limited",58
991,AS38260,"Transaction Network Services",58
992,AS48647,"Solvay SA",58
993,AS37018,"Galaxy Backbone PLC",58
994,AS38573,"Virtusa Global AS",58
995,AS21775,"Afilias Canada, Corp.",58
996,AS26616,"UBMEX DATA CENTER E TELECOMUNICACOES LTDA",58
997,AS55847,"National Knowledge Network",58
998,AS57704,"SpeedClick for Information Technology and Communication Ltd",58
999,AS33717,"Chunghwa Telecom Global, INC",58
1000,AS5384,"Emirates Telecommunications Corporation",58
1001,AS9832,"Information Services Network Limited",58
1002,AS60592,"Gransy s.r.o.",58
1003,AS38592,"Chittagong Online Limited.",58
1004,AS43937,"Playtech Estonia OU",58
1005,AS34962,"Anonymize, Inc",58
1006,AS37385,"Societe Nigerienne des Telecommunications (SONITEL)",58
1007,AS32110,"Asurion Insurance Services, Inc.",58
1008,AS3300,"British Telecommunications PLC",58
1009,AS20222,"Plant Telephone Company",58
1010,AS25655,"Overstock.com",58
1011,AS197695,""Domain names registrar REG.RU", Ltd",58
1012,AS16322,"Pars Online PJS",58
1013,AS14234,"ZONAMERICA",58
1014,AS12735,"TurkNet Iletisim Hizmetleri A.S.",57
1015,AS6325,"Illinois Century Network",57
1016,AS23673,"COGETEL Co., Ltd",57
1017,AS28586,"BANCO BRADESCO SA",57
1018,AS132215,"Power Grid Corporation of India Limited",57
1019,AS6429,"Telmex Chile Internet S.A.",57
1020,AS48932,"Saudi Arabian Airlines",57
1021,AS20546,"SOPRADO GmbH",57
1022,AS18419,"DaDa Broadband LTD.",57
1023,AS4913,"Speedcast Communications, Inc",57
1024,AS43231,"KARBIL YAZILIM VE BILISIM TEKNOLOJILERI TIC. A.S.",57
1025,AS7926,"Fair Isaac and Company",57
1026,AS22065,"LPL Financial",57
1027,AS36426,"IsoTropic Networks, Inc.",57
1028,AS24757,"Ethio Telecom",57
1029,AS23274,"Priceline.com",57
1030,AS328114,"Comsol Networks (PTY) Ltd",57
1031,AS47237,"NUR Telecom LLC",57
1032,AS17887,"TCC Technology Co., Ltd.",57
1033,AS35819,"Bayanat Al-Oula For Network Services",56
1034,AS52760,"NOVA FIBRA TELECOM S.A.",56
1035,AS6306,"TELEFONICA VENEZOLANA, C.A.",56
1036,AS31400,"Accelerated IT Services & Consulting GmbH",56
1037,AS8781,"Ooredoo Q.S.C.",56
1038,AS12491,"Gilat Satcom",56
1039,AS60458,"Xtudio Networks S.L.U.",56
1040,AS199563,"Varian Medical Systems International AG",56
1041,AS37620,"VIETTEL CAMEROUN SARL",56
1042,AS36909,"Habari Node Public Limited",56
1043,AS37546,"MIA Telecoms",56
1044,AS4868,"Pioneer Hi-Bred International, Inc.",56
1045,AS55531,"Dhakacom Limited",56
1046,AS262156,"Universidad Nacional de Rosario",56
